2012/07,16
2012/08,16
2012/09,19
2012/10,23
2012/11,16
2012/12,19
2013/01,14
2013/02,12
2013/03,15
2013/04,23
2013/05,22
2013/06,24
2013/07,24
2013/08,26
2013/09,22
2013/10,33
2013/11,31
2013/12,25
2014/01,15
2014/02,20
2014/03,16
2014/04,17
2014/05,33
2014/06,34
2014/07,38
2014/08,42
2014/09,35
2014/10,22
2014/11,27
2014/12,27
2015/01,16
2015/02,13
2015/03,14
2015/04,22
2015/05,23
2015/06,20
2015/07,25
2015/08,25
2015/09,25
2015/10,19
2015/11,20
2015/12,14
2016/01,26
2016/02,23
2016/03,8
